gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,terminal,0.642,1,56.25,"Получает 110,000 KZT, исходящий объём составляет 16,685 KZT (15% входящего)."
100000000018102100,peripheral,0.6,2,48.47,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 7,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000031787100,transit,0.795,3,41.29,"Получает 90,000 KZT и переводит дальше 100% входящего объёма."
100000000041368100,terminal,0.67,4,57.21,"Получает 160,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000076451100,consolidator,0.503,5,48.54,"Получает средства от 3 уникальных отправителей; входящий объём 87,707 KZT превышает исходящий 58,000 KZT."
100000000089154100,distributor,0.885,6,70.68,"Переводит средства 15 уникальным получателям; исходящий объём 425,500 KZT превышает входящий 10,000 KZT."
100000000190228100,peripheral,0.6,7,49.09,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 33,560 KZT."
100000000201868100,transit,0.845,8,41.82,"Получает 190,000 KZT и переводит дальше 100% входящего объёма."
100000000254336100,peripheral,0.517,9,45.65,"Небольшая активность: 2 уникальных отправителей, 1 получателей, оборот 157,177 KZT."
100000000267734100,distributor,0.721,3,53.3,"Переводит средства 7 уникальным получателям; исходящий объём 282,000 KZT превышает входящий 180,000 KZT."
100000000274067100,distributor,0.685,10,65.83,"Переводит средства 3 уникальным получателям; исходящий объём 2,969,000 KZT превышает входящий 517,704 KZT."
100000000287768100,terminal,0.608,11,52.98,"Получает 35,168 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000288317100,coordinator,0.554,2,49.1,Связан с 2 отправителями и 3 получателями; объёмы входящих и исходящих средств сопоставимы.
100000000291906100,transit,0.872,12,48.42,"Получает 388,000 KZT и переводит дальше 100% входящего объёма."
100000000291908100,terminal,0.713,12,59.52,"Получает 295,500 KZT, исходящий объём составляет 13,300 KZT (5% входящего)."
100000000297649100,peripheral,0.6,13,43.91,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 110,600 KZT."
100000000299820100,peripheral,0.6,14,49.47,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 10,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000307908100,peripheral,0.6,15,47.53,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 5,000 KZT."
100000000331309100,distributor,1.0,16,88.36,"Переводит средства 99 уникальным получателям; исходящий объём 23,001,375 KZT превышает входящий 984,635 KZT."
100000000332284100,distributor,0.543,16,59.46,"Переводит средства 3 уникальным получателям; исходящий объём 289,500 KZT превышает входящий 107,426 KZT."
100000000343175100,distributor,1.0,17,90.84,"Переводит средства 31 уникальным получателям; исходящий объём 4,000,039 KZT превышает входящий 178,712 KZT."
100000000369781100,peripheral,0.6,16,47.53,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 5,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000375150100,peripheral,0.6,18,58.96,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 300,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000404740100,peripheral,0.6,19,52.03,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 25,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000408846100,terminal,0.61,20,53.37,"Получает 40,500 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000413678100,transit,0.707,21,53.08,"Получает 306,500 KZT и переводит дальше 100% входящего объёма."
100000000424935100,peripheral,0.6,22,50.6,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 15,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000425407100,terminal,0.6,23,51.4,"Получает 20,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000437046100,distributor,1.0,11,80.94,"Переводит средства 42 уникальным получателям; исходящий объём 7,606,224 KZT превышает входящий 1,107,200 KZT."
100000000440392100,terminal,0.643,24,56.05,"Получает 105,705 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000456947100,peripheral,0.6,25,10.0,"Небольшая активность: 0 уникальных отправителей, 0 получателей, оборот 0 KZT."
100000000470237100,peripheral,0.6,26,52.76,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 32,500 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000481716100,peripheral,0.6,27,48.85,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 8,000 KZT."
100000000489417100,transit,0.64,28,42.9,"Получает 73,504 KZT и переводит дальше 100% входящего объёма."
100000000490383100,distributor,0.802,24,65.45,"Переводит средства 8 уникальным получателям; исходящий объём 461,375 KZT превышает входящий 62,600 KZT."
100000000500040100,peripheral,0.6,9,51.4,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 20,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000507799100,peripheral,0.6,29,36.79,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 13,132 KZT."
100000000533217100,terminal,0.617,30,54.16,"Получает 53,587 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000534581100,coordinator,0.53,14,42.86,Связан с 2 отправителями и 1 получателями; объёмы входящих и исходящих средств сопоставимы.
100000000542087100,peripheral,0.6,31,49.02,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 8,507 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000552584100,terminal,0.827,32,66.24,"Получает 2,500,000 KZT, исходящий объём составляет 57,500 KZT (2% входящего)."
100000000555721100,terminal,0.687,1,58.44,"Получает 113,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000557536100,peripheral,0.6,31,57.08,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 153,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000560751100,terminal,0.603,33,52.03,"Получает 25,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000561160100,peripheral,0.6,34,58.34,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 240,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000569479100,terminal,0.75,2,59.15,"Получает 320,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000572276100,peripheral,0.6,35,45.04,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 47,622 KZT."
100000000580561100,distributor,0.685,36,78.7,"Переводит средства 3 уникальным получателям; исходящий объём 1,488,077 KZT превышает входящий 27,980 KZT."
100000000581662100,peripheral,0.6,37,51.56,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 21,160 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000581682100,peripheral,0.6,22,47.53,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 5,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000583220100,peripheral,0.6,38,63.52,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 766,255 KZT."
100000000594783100,terminal,0.808,32,66.75,"Получает 2,635,000 KZT, исходящий объём составляет 152,500 KZT (6% входящего)."
100000000596954100,peripheral,0.517,39,49.66,"Небольшая активность: 1 уникальных отправителей, 2 получателей, оборот 168,100 KZT."
100000000600707100,peripheral,0.6,40,55.57,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 89,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000607731100,peripheral,0.6,41,48.46,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 86,666 KZT."
100000000607941100,transit,0.609,42,43.49,"Получает 50,000 KZT и переводит дальше 100% входящего объёма."
100000000608031100,peripheral,0.6,43,52.54,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 30,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000611474100,terminal,0.606,44,52.72,"Получает 32,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000625169100,peripheral,0.6,45,49.47,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 10,000 KZT."
100000000627521100,peripheral,0.6,46,48.27,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 6,500 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000629812100,terminal,0.641,47,53.87,"Получает 22,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000634341100,peripheral,0.6,11,51.91,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 24,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000640800100,distributor,0.634,48,61.49,"Переводит средства 4 уникальным получателям; исходящий объём 518,135 KZT превышает входящий 80,000 KZT."
100000000646541100,terminal,0.683,49,55.82,"Получает 25,300 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000655469100,peripheral,0.6,50,51.4,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 20,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000656682100,transit,0.72,9,42.0,"Получает 71,000 KZT и переводит дальше 100% входящего объёма."
100000000661131100,peripheral,0.6,51,50.71,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 15,600 KZT."
100000000661912100,transit,0.887,52,50.21,"Получает 393,036 KZT и переводит дальше 100% входящего объёма."
100000000667713100,coordinator,0.684,24,50.01,Связан с 2 отправителями и 6 получателями; объёмы входящих и исходящих средств сопоставимы.
100000000673868100,terminal,0.736,53,65.23,"Получает 2,030,650 KZT, исходящий объём составляет 383,000 KZT (19% входящего)."
100000000673915100,peripheral,0.6,31,51.43,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 20,200 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000703894100,peripheral,0.6,54,50.29,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 155,000 KZT."
100000000703902100,terminal,0.603,55,52.08,"Получает 25,499 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000704700100,peripheral,0.6,56,49.47,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 10,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000706545100,terminal,0.881,24,65.02,"Получает 1,070,300 KZT, исходящий объём составляет 75,800 KZT (7% входящего)."
100000000718427100,peripheral,0.6,45,48.04,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 6,000 KZT."
100000000723383100,transit,0.225,57,55.77,"Получает 6,800 KZT и переводит дальше 100% входящего объёма."
100000000724540100,peripheral,0.6,58,45.89,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 150,000 KZT."
100000000733373100,peripheral,0.6,24,49.66,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 10,710 KZT."
100000000733451100,peripheral,0.6,18,54.18,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 370,000 KZT."
100000000733940100,peripheral,0.6,59,61.53,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 752,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000737152100,peripheral,0.6,9,52.97,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 35,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000749118100,peripheral,0.6,60,39.02,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 26,830 KZT."
100000000764836100,terminal,0.607,14,56.11,"Получает 251,716 KZT, исходящий объём составляет 50,000 KZT (20% входящего)."
100000000765628100,peripheral,0.6,24,47.53,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 5,000 KZT."
100000000769919100,terminal,0.715,61,58.46,"Получает 250,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000782285100,peripheral,0.6,62,48.11,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 6,151 KZT."
100000000783406100,peripheral,0.6,63,48.07,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 6,066 KZT."
100000000785800100,transit,0.759,64,35.39,"Получает 19,000 KZT и переводит дальше 100% входящего объёма."
100000000790311100,terminal,0.613,65,53.75,"Получает 46,300 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000791285100,transit,0.748,20,54.19,"Получает 1,120,000 KZT и переводит дальше 58% входящего объёма."
100000000795033100,peripheral,0.6,9,51.14,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 18,200 KZT."
100000000795129100,terminal,0.756,65,59.25,"Получает 332,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000795374100,terminal,0.615,14,53.96,"Получает 50,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000802149100,terminal,0.642,11,56.01,"Получает 104,128 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000803368100,peripheral,0.6,66,56.83,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 139,503 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000806727100,peripheral,0.6,4,52.16,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 50,000 KZT."
100000000810551100,terminal,0.601,4,55.63,"Получает 100,000 KZT, исходящий объём составляет 7,100 KZT (7% входящего)."
100000000817146100,terminal,0.625,67,54.9,"Получает 70,020 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000821507100,terminal,0.79,53,59.77,"Получает 400,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000831684100,peripheral,0.6,68,47.66,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 65,000 KZT."
100000000838385100,terminal,0.585,26,53.17,"Получает 436,900 KZT, исходящий объём составляет 177,500 KZT (41% входящего)."
100000000850297100,transit,0.759,69,35.17,"Получает 17,520 KZT и переводит дальше 100% входящего объёма."
100000000860514100,peripheral,0.6,70,49.02,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 62,000 KZT."
100000000861294100,terminal,0.665,71,57.03,"Получает 150,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000870121100,peripheral,0.6,72,49.98,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 12,000 KZT."
100000000878006100,terminal,0.614,16,53.79,"Получает 47,003 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000896111100,terminal,0.734,73,58.84,"Получает 287,100 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000907277100,peripheral,0.6,55,51.04,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 17,534 KZT."
100000000910216100,peripheral,0.6,74,41.76,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 123,010 KZT."
100000000912487100,peripheral,0.6,23,49.47,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 10,000 KZT."
100000000913911100,transit,0.792,75,48.75,"Получает 467,000 KZT и переводит дальше 100% входящего объёма."
100000000917179100,terminal,0.637,76,55.74,"Получает 94,465 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000922570100,transit,0.739,77,38.61,"Получает 47,101 KZT и переводит дальше 100% входящего объёма."
100000000926078100,peripheral,0.6,78,58.46,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 250,000 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000926766100,peripheral,0.6,79,44.5,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 24,750 KZT."
100000000933075100,transit,0.61,80,42.67,"Получает 40,000 KZT и переводит дальше 100% входящего объёма."
100000000941942100,terminal,0.655,4,56.63,"Получает 130,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000942301100,terminal,0.619,81,54.36,"Получает 57,580 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000943371100,peripheral,0.6,82,50.69,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 15,500 KZT."
100000000945428100,terminal,0.635,1,55.59,"Получает 89,629 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000954884100,terminal,0.607,63,52.89,"Получает 34,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000955444100,peripheral,0.6,36,48.44,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 6,910 KZT."
100000000955529100,peripheral,0.6,4,45.88,"Небольшая активность: 1 уникальных отправителей, 1 получателей, оборот 90,500 KZT."
100000000957746100,peripheral,0.6,43,47.7,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 5,300 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000961900100,terminal,0.648,1,55.24,"Получает 36,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000967918100,terminal,0.601,9,51.57,"Получает 21,200 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000968253100,peripheral,0.6,55,50.6,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 15,000 KZT."
100000000971908100,terminal,0.635,71,55.57,"Получает 89,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000976943100,transit,0.689,83,41.12,"Получает 70,000 KZT и переводит дальше 100% входящего объёма."
100000000978041100,terminal,0.612,55,53.63,"Получает 44,445 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000979567100,peripheral,0.6,55,49.47,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 10,000 KZT."
100000000979923100,terminal,0.639,17,55.84,"Получает 97,900 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000981693100,peripheral,0.6,60,50.87,"Небольшая активность: 1 уникальных отправителей, 0 получателей, оборот 16,500 KZT. На глубине 4 отсутствие исходящих связей может быть следствием границы выгрузки и само по себе не подтверждает terminal-роль."
100000000993112100,terminal,0.661,84,56.86,"Получает 141,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000000998559100,terminal,0.64,4,55.9,"Получает 100,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000001009583100,terminal,0.787,16,59.72,"Получает 393,740 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000001046057100,terminal,0.632,85,55.39,"Получает 83,420 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000001046626100,terminal,0.665,16,57.03,"Получает 150,000 KZT, исходящий объём составляет 0 KZT (0% входящего)."
100000001049200100,coordinator,0.552,86,50.23,Связан с 2 отправителями и 4 получателями; объёмы входящих и исходящих средств сопоставимы.
