gid,role,role_score,priority_score,cluster_id,evidence,priority_reason
901245,coordinator,0.94,0.98,17,"Связывает сбор и распределение: 2 отправителя, 2 получателя, вход 6 940 000 ₸.","Связывает 2 ветки: получает от 902188 и 903470, переводит 5 930 000 ₸ распределителю 904311."
902188,consolidator,0.89,0.92,17,Получает 5 200 000 ₸ от 8 участников; передаёт 4 840 000 ₸ узлу 901245.,8 отправителей сходятся в одной точке; 4 840 000 ₸ направлены координатору.
903470,transit,0.86,0.87,17,"Получено 2 300 000 ₸ от 2 клиентов, отправлено 2 100 000 ₸ узлу 901245.",В демонстрационной цепочке передаёт 2 100 000 ₸ после получения 2 300 000 ₸.
904311,distributor,0.91,0.9,17,Получает 5 930 000 ₸ и распределяет 5 600 000 ₸ между 6 получателями.,Веер из 6 получателей; наблюдаемый исходящий поток 5 600 000 ₸.
905624,terminal,0.78,0.72,17,Получено 3 780 000 ₸ от 2 клиентов; наблюдаемых исходящих связей нет.,Концентрирует 3 780 000 ₸ в конце наблюдаемой ветки; требуется проверить полноту данных.
906810,peripheral,0.41,0.38,21,1 входящий перевод на 150 000 ₸; других наблюдаемых связей нет.,"Низкий демонстрационный приоритет: 1 контрагент, объём 150 000 ₸."
907193,transit,0.73,0.7,21,Получает 200 000 ₸ и переводит 150 000 ₸ одному клиенту.,Связывает 908010 и 906810; исходящий поток 150 000 ₸.
908001,peripheral,0.4,0.34,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 8: выраженной структурной роли в примере не задано.
908002,peripheral,0.4,0.33,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 9: выраженной структурной роли в примере не задано.
908003,peripheral,0.4,0.32,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 10: выраженной структурной роли в примере не задано.
908004,peripheral,0.4,0.31,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 11: выраженной структурной роли в примере не задано.
908005,peripheral,0.4,0.3,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 12: выраженной структурной роли в примере не задано.
908006,peripheral,0.4,0.29,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 13: выраженной структурной роли в примере не задано.
908007,peripheral,0.4,0.28,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 14: выраженной структурной роли в примере не задано.
908008,peripheral,0.4,0.27,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 15: выраженной структурной роли в примере не задано.
908009,peripheral,0.4,0.26,17,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 16: выраженной структурной роли в примере не задано.
908010,peripheral,0.4,0.25,21,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 17: выраженной структурной роли в примере не задано.
908011,peripheral,0.4,0.24,21,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 18: выраженной структурной роли в примере не задано.
908012,peripheral,0.4,0.23,21,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 19: выраженной структурной роли в примере не задано.
908013,peripheral,0.4,0.22,21,Ограниченная активность в синтетическом примере; проверьте таблицу наблюдаемых связей.,Демонстрационная позиция 20: выраженной структурной роли в примере не задано.
909999,peripheral,0.3,0.1,21,0 наблюдаемых связей; клиент сохранён в списке участников.,Для этого узла отдельный приоритет в Top Nodes не задан.
